,url,league_name,Club,Defensive Style,Offensive Style,Domestic Prestige,International Prestige
341,80,Scottish Premiership ,Heart of Midlothian,Pressure On Heavy Touch,Balanced,7,1
342,1048,Campeonato Brasileiro Série A ,Internacional,Balanced,Balanced,7,6
343,110745,Polish T-Mobile Ekstraklasa ,Jagiellonia Bia\xc5\x82ystok,Press After Possession Loss,Balanced,8,4
344,111730,Japanese J. League Division 1 ,Kawasaki Frontale,Press After Possession Loss,Possession,8,5
345,357,English League Two ,Morecambe,Drop Back,Long Ball,2,1
346,1352,International,Norway,Balanced,Long Ball,,3
347,744,Portuguese Liga ZON SAGRES ,Rio Ave FC,Press After Possession Loss,Possession,6,2
348,1913,Holland Eredivisie ,SC Heerenveen,Press After Possession Loss,Possession,6,2
349,680,Belgian Jupiler Pro League ,Sint-Truidense VV,Balanced,Long Ball,3,1
350,361,English League Two ,Stevenage,Pressure On Heavy Touch,Balanced,4,1
351,1363,International,Sweden,Press After Possession Loss,Balanced,,5
352,15029,Chilian Campeonato Nacional ,Universidad de Chile,Pressure On Heavy Touch,Balanced,10,7
353,308,Romanian Liga I ,Universitatea Craiova,Pressure On Heavy Touch,Balanced,8,4
354,111487,International,Venezuela,Drop Back,Fast Build Up,,2
355,487,German 2. Bundesliga ,VfL Osnabr\xc3\xbcck,Press After Possession Loss,Balanced,5,1
356,101151,Japanese J. League Division 1 ,Yokohama F. Marinos,Balanced,Possession,6,4
357,112139,Saudi Abdul L. Jameel League ,Al Nassr,Press After Possession Loss,Possession,8,5
358,111710,Argentina Primera División  ,Defensa y Justicia,Press After Possession Loss,Possession,6,3
359,112606,USA Major League Soccer ,Orlando City SC,Press After Possession Loss,Long Ball,5,5
360,100831,Spanish Segunda División ,AD Alcorc\xc3\xb3n,Balanced,Balanced,6,1
361,110065,Spanish Segunda División ,CF Fuenlabrada,Pressure On Heavy Touch,Long Ball,2,1
362,110890,English League Two ,Crawley Town,Balanced,Balanced,2,1
363,111710,Argentina Primera División  ,Defensa y Justicia,Press After Possession Loss,Possession,6,3
364,710,Swedish Allsvenskan ,Djurg\xc3\xa5rdens IF,Press After Possession Loss,Possession,6,2
365,110500,German 3. Bundesliga ,Eintracht Braunschweig,Press After Possession Loss,Long Ball,10,1
366,319,Swedish Allsvenskan ,IFK G\xc3\xb6teborg,Press After Possession Loss,Possession,8,2
367,111108,International,Peru,Press After Possession Loss,Long Ball,,3
368,110738,Italian Serie B ,Pisa,Drop Back,Long Ball,2,1
369,110746,Polish T-Mobile Ekstraklasa ,Pogo\xc5\x84 Szczecin,Press After Possession Loss,Balanced,6,2
370,111560,Belgian Jupiler Pro League ,Royal Excel Mouscron,Drop Back,Fast Build Up,2,1
371,1357,International,Russia,Balanced,Balanced,,6
372,127,English League One ,Shrewsbury,Balanced,Balanced,5,1
373,1954,English League One ,Southend United,Balanced,Balanced,6,1
374,210,French Ligue 2 ,Stade Malherbe Caen,Drop Back,Long Ball,3,1
375,1364,International,Switzerland,Balanced,Balanced,,5
376,205,Italian Serie B ,Venezia FC,Balanced,Possession,8,1
377,614,French Ligue 2 ,AC Ajaccio,Balanced,Long Ball,5,1
378,433,Swedish Allsvenskan ,AIK,Balanced,Balanced,10,3
379,77,Scottish Premiership ,Aberdeen,Pressure On Heavy Touch,Balanced,8,2
380,112387,Saudi Abdul L. Jameel League ,Al Ahli,Press After Possession Loss,Balanced,9,6
381,110734,Italian Serie B ,Crotone,Balanced,Possession,8,1
382,110591,German 3. Bundesliga ,FC Carl Zeiss Jena,Balanced,Balanced,2,1
383,226,French Ligue 2 ,FC Sochaux-Montb\xc3\xa9liard,Balanced,Balanced,6,1
384,894,Swiss Super League ,FC Z\xc3\xbcrich,Balanced,Possession,6,4
385,110592,German 3. Bundesliga ,FSV Zwickau,Drop Back,Fast Build Up,3,1
386,708,Swedish Allsvenskan ,Hammarby IF,Press After Possession Loss,Balanced,6,1
387,112224,Australian Hyundai A-League ,Melbourne City FC,Drop Back,Possession,8,3
388,110396,Argentina Primera División  ,Newell\'s Old Boys,Balanced,Balanced,7,6
389,199,Italian Serie B ,Perugia,Balanced,Long Ball,6,1
390,10031,Portuguese Liga ZON SAGRES ,Portimonense SC,Pressure On Heavy Touch,Balanced,3,1
391,111140,USA Major League Soccer ,Portland Timbers,Balanced,Long Ball,7,3
392,110152,Mexican Liga MX ,Puebla FC,Drop Back,Possession,4,2
393,1355,International,Republic of Ireland,Press After Possession Loss,Balanced,,5
394,2023,Spanish Segunda División ,SD Ponferradina,Drop Back,Balanced,6,1
395,110502,German 2. Bundesliga ,SV Darmstadt 98,Drop Back,Long Ball,6,1
396,110597,German 3. Bundesliga ,SV Meppen,Balanced,Long Ball,2,1
397,110955,Chinese Super League ,Shanghai Greenland Shenhua FC,Drop Back,Fast Build Up,5,3
398,101041,Turkish Süper Lig ,Sivasspor,Balanced,Balanced,4,1
399,172,German 3. Bundesliga ,SpVgg Unterhaching,Balanced,Possession,5,1
400,100646,Holland Eredivisie ,Sparta Rotterdam,Balanced,Balanced,3,1
401,111132,Rep. Ireland Airtricity League ,UCD AFC,Balanced,Possession,1,1
402,110645,German 3. Bundesliga ,Viktoria K\xc3\xb6ln,Pressure On Heavy Touch,Balanced,2,1
403,100769,Russian Premier League ,Zenit St. Petersburg,,,10,7
404,113142,Turkish Süper Lig ,Alanyaspor,Pressure On Heavy Touch,Long Ball,2,1
405,112516,Portuguese Liga ZON SAGRES ,CD Tondela,Drop Back,Long Ball,2,1
406,113677,Campeonato Brasileiro Série A ,CSA - AL,Balanced,Long Ball,1,1
407,111465,International,Ecuador,Press After Possession Loss,Balanced,,5
408,101150,Japanese J. League Division 1 ,FC Tokyo,Pressure On Heavy Touch,Balanced,7,5
409,111657,Italian Serie B ,Frosinone,Pressure On Heavy Touch,Balanced,2,1
410,101025,Turkish Süper Lig ,Gen\xc3\xa7lerbirli\xc4\x9fi SK,Press After Possession Loss,Long Ball,6,3
411,112978,Chinese Super League ,Hebei China Fortune FC,Pressure On Heavy Touch,Long Ball,3,1
412,112162,Chinese Super League ,Jiangsu Suning FC,Pressure On Heavy Touch,Long Ball,7,4
413,111339,Turkish Süper Lig ,Kasimpa\xc5\x9fa SK,Balanced,Balanced,4,3
414,111397,Australian Hyundai A-League ,Melbourne Victory,Balanced,Balanced,10,5
415,111659,French Ligue 2 ,Rodez Aveyron Football,Balanced,Balanced,2,1
416,110580,Argentina Primera División  ,Rosario Central,Balanced,Balanced,7,4
417,110373,Italian Serie B ,US Salernitana 1919,Balanced,Long Ball,5,1
418,111575,Japanese J. League Division 1 ,Urawa Red Diamonds,Pressure On Heavy Touch,Long Ball,9,5
419,110456,French Ligue 2 ,Valenciennes FC,Pressure On Heavy Touch,Balanced,3,1
420,260,Spanish Segunda División ,CD Tenerife,Press After Possession Loss,Possession,7,1
421,1936,English League Two ,Cheltenham Town,Balanced,Long Ball,4,1
422,1815,French Ligue 2 ,Clermont Foot 63,Pressure On Heavy Touch,Balanced,4,1
423,159,German 2. Bundesliga ,DSC Arminia Bielefeld,Press After Possession Loss,Balanced,4,1
424,837,Rep. Ireland Airtricity League ,Dundalk,Press After Possession Loss,Possession,10,2
425,1516,Danish Superliga ,FC Midtjylland,Press After Possession Loss,Possession,10,3
426,1334,International,Finland,Drop Back,Long Ball,,3
427,634,Holland Eredivisie ,Fortuna Sittard,Balanced,Long Ball,3,1
428,101025,Turkish Süper Lig ,Gen\xc3\xa7lerbirli\xc4\x9fi SK,Press After Possession Loss,Long Ball,6,3
429,81,Scottish Premiership ,Hibernian,Press After Possession Loss,Balanced,7,1
430,1477,Korean K League Classic ,Jeonbuk Hyundai Motors,Balanced,Possession,10,6
431,100081,Belgian Jupiler Pro League ,KV Kortrijk,Balanced,Balanced,5,1
432,200,Italian Serie B ,Pescara,Press After Possession Loss,Long Ball,7,1
433,298,Norwegian Eliteserien ,Rosenborg BK,Balanced,Balanced,10,4
434,531,German 3. Bundesliga ,SC Preu\xc3\x9fen M\xc3\xbcnster,Press After Possession Loss,Balanced,6,1
435,165,German 2. Bundesliga ,SpVgg Greuther F\xc3\xbcrth,Press After Possession Loss,Balanced,5,1
436,696,USA Major League Soccer ,Sporting Kansas City,Press After Possession Loss,Possession,7,2
437,1933,English League One ,Wycombe Wanderers,Press After Possession Loss,Long Ball,1,1
438,271,Danish Superliga ,Aarhus GF,Balanced,Long Ball,6,1
439,111768,Chinese Super League ,Beijing Sinobo Guoan FC,Drop Back,Possession,7,4
440,1898,Portuguese Liga ZON SAGRES ,Boavista FC,Balanced,Balanced,4,2
441,15015,English League One ,Burton Albion,Balanced,Long Ball,7,1
442,477,Spanish Segunda División ,CD Numancia,Balanced,Long Ball,7,1
443,694,USA Major League Soccer ,Colorado Rapids,Balanced,Long Ball,2,1
444,687,USA Major League Soccer ,Columbus Crew SC,Press After Possession Loss,Possession,7,3
445,1968,Spanish Segunda División ,C\xc3\xa1diz CF,Pressure On Heavy Touch,Long Ball,5,1
446,468,Spanish Segunda División ,Elche CF,Balanced,Long Ball,2,1
447,112627,French Ligue 2 ,FC Chambly Oise,Drop Back,Long Ball,1,1
448,695,USA Major League Soccer ,FC Dallas,Press After Possession Loss,Balanced,7,2
449,506,German 2. Bundesliga ,FC Erzgebirge Aue,Press After Possession Loss,Balanced,2,1
450,110197,German 3. Bundesliga ,FC W\xc3\xbcrzburger Kickers,Balanced,Possession,6,1
451,110776,Turkish Süper Lig ,Gazi\xc5\x9fehir Gaziantep F.K.,Balanced,Balanced,3,1
452,100634,Holland Eredivisie ,Heracles Almelo,Press After Possession Loss,Balanced,5,1
453,702,Swedish Allsvenskan ,IFK Norrk\xc3\xb6ping,Press After Possession Loss,Possession,8,2
454,111466,International,India,Balanced,Long Ball,,1
455,1739,French Ligue 2 ,Le Mans FC,Balanced,Long Ball,2,1
456,112092,Japanese J. League Division 1 ,Nagoya Grampus,Press After Possession Loss,Possession,4,3
457,1955,English League One ,Rochdale,Press After Possession Loss,Possession,3,1
458,15005,Belgian Jupiler Pro League ,SV Zulte-Waregem,Pressure On Heavy Touch,Balanced,7,2
459,111928,USA Major League Soccer ,San Jose Earthquakes,Press After Possession Loss,Possession,3,2
460,306,Rep. Ireland Airtricity League ,Shamrock Rovers,Balanced,Possession,9,1
461,111773,Chinese Super League ,Shenzhen FC,Pressure On Heavy Touch,Long Ball,4,1
462,110977,Chilian Campeonato Nacional ,Uni\xc3\xb3n Espa\xc3\xb1ola,Pressure On Heavy Touch,Balanced,6,6
463,110588,German 3. Bundesliga ,1. FC Magdeburg,Pressure On Heavy Touch,Long Ball,3,1
464,111019,Argentina Primera División  ,Argentinos Juniors,Pressure On Heavy Touch,Balanced,6,5
465,1395,International,Cameroon,Press After Possession Loss,Possession,,5
466,1480,English League Two ,Carlisle United,Balanced,Possession,5,1
467,112965,Argentina Primera División  ,Central C\xc3\xb3rdoba,Drop Back,Fast Build Up,1,3
468,111993,Italian Serie B ,Cittadella,Pressure On Heavy Touch,Possession,4,1
469,110747,Polish T-Mobile Ekstraklasa ,Cracovia,Balanced,Long Ball,4,2
470,111130,International,Egypt,Balanced,Balanced,,5
471,1892,Portuguese Liga ZON SAGRES ,FC Pa\xc3\xa7os de Ferreira,Balanced,Long Ball,5,1
472,110770,Swiss Super League ,FC Sion,Balanced,Balanced,7,3
473,112429,Chinese Super League ,Guangzhou R&F FC,Balanced,Possession,5,4
474,110929,South African Premier Division ,Kaizer Chiefs,Press After Possession Loss,Possession,9,6
475,111139,USA Major League Soccer ,Montreal Impact,Drop Back,Possession,4,4
476,111086,Polish T-Mobile Ekstraklasa ,Piast Gliwice,Press After Possession Loss,Balanced,6,4
477,1905,Holland Eredivisie ,RKC Waalwijk,Balanced,Balanced,1,1
478,111724,Chinese Super League ,Shandong Luneng TaiShan FC,Balanced,Balanced,6,3
479,112535,Chilian Campeonato Nacional ,Uni\xc3\xb3n La Calera,Drop Back,Fast Build Up,3,1
480,1395,International,Cameroon,Press After Possession Loss,Possession,,5
481,507,German 3. Bundesliga ,Chemnitzer FC,Balanced,Long Ball,1,1
482,693,USA Major League Soccer ,Chicago Fire,Pressure On Heavy Touch,Balanced,5,1
483,142,English League One ,Doncaster Rovers,Press After Possession Loss,Balanced,4,1
484,1338,International,Greece,Balanced,Long Ball,,6
485,420,Polish T-Mobile Ekstraklasa ,G\xc3\xb3rnik Zabrze,Pressure On Heavy Touch,Long Ball,5,2
486,691,USA Major League Soccer ,New England Revolution,Press After Possession Loss,Balanced,5,3
487,459,Spanish Segunda División ,Real Sporting de Gij\xc3\xb3n,Pressure On Heavy Touch,Balanced,8,1
488,650,Holland Eredivisie ,ADO Den Haag,Balanced,Long Ball,5,1
489,1823,French Ligue 2 ,AS Nancy Lorraine,Balanced,Balanced,7,1
490,110313,English League One ,Accrington Stanley,Balanced,Long Ball,1,1
491,111393,Australian Hyundai A-League ,Adelaide United,Pressure On Heavy Touch,Balanced,4,3
492,101097,Chilian Campeonato Nacional ,Audax Italiano,Press After Possession Loss,Possession,7,2
493,1415,International,Australia,Press After Possession Loss,Possession,,5
494,111395,Australian Hyundai A-League ,Brisbane Roar,Pressure On Heavy Touch,Balanced,7,4
495,112584,Chilian Campeonato Nacional ,CD Everton de Vi\xc3\xb1a del Mar,Balanced,Balanced,1,1
496,112116,Chilian Campeonato Nacional ,CD O\'Higgins,Pressure On Heavy Touch,Long Ball,8,3
497,112124,Italian Serie B ,Castellammare di Stabia,Drop Back,Balanced,1,1
498,111396,Australian Hyundai A-League ,Central Coast Mariners,Balanced,Balanced,1,3
499,101148,Japanese J. League Division 1 ,Cerezo Osaka,Balanced,Balanced,7,5
500,112670,Argentina Primera División  ,Club Atl\xc3\xa9tico Talleres,Press After Possession Loss,Possession,6,6
501,568,Campeonato Brasileiro Série A ,Cruzeiro,Pressure On Heavy Touch,Possession,10,6
502,112260,English League One ,Fleetwood Town,Press After Possession Loss,Possession,4,1
503,1888,Portuguese Liga ZON SAGRES ,Gil Vicente FC,Balanced,Long Ball,2,1
504,101084,Argentina Primera División  ,Gimnasia y Esgrima La Plata,Press After Possession Loss,Balanced,5,2
505,112444,Japanese J. League Division 1 ,Hokkaido Consadole Sapporo,Pressure On Heavy Touch,Balanced,3,1
506,101103,Colombian Liga Postobón ,Independiente Medell\xc3\xadn,Balanced,Possession,9,6
507,101104,Colombian Liga Postobón ,Independiente Santa Fe,Drop Back,Long Ball,9,8
508,2013,Belgian Jupiler Pro League ,KAS Eupen,Balanced,Long Ball,2,1
509,101020,Turkish Süper Lig ,Kayserispor,Pressure On Heavy Touch,Long Ball,4,2
510,101007,Turkish Süper Lig ,MKE Ankarag\xc3\xbcc\xc3\xbc,Pressure On Heavy Touch,Long Ball,5,5
511,417,Norwegian Eliteserien ,Molde FK,Press After Possession Loss,Possession,10,3
512,111398,Australian Hyundai A-League ,Newcastle Jets,Drop Back,Fast Build Up,3,1
513,110081,International,Northern Ireland,Balanced,Balanced,,2
514,110930,South African Premier Division ,Orlando Pirates,Balanced,Possession,10,5
515,112134,USA Major League Soccer ,Philadelphia Union,Balanced,Possession,4,1
516,1797,English League One ,Rotherham United,Balanced,Long Ball,7,1
517,111379,German 3. Bundesliga ,SG Sonnenhof Gro\xc3\x9faspach,Balanced,Balanced,5,1
518,492,German 2. Bundesliga ,SV Wehen Wiesbaden,Pressure On Heavy Touch,Balanced,8,1
519,113160,Japanese J. League Division 1 ,Sagan Tosu,Press After Possession Loss,Long Ball,5,2
520,101149,Japanese J. League Division 1 ,Shimizu S-Pulse,Pressure On Heavy Touch,Long Ball,3,1
521,100804,Scottish Premiership ,St. Johnstone FC,Balanced,Long Ball,5,1
522,112410,Italian Serie B ,Trapani,Balanced,Balanced,2,1
523,110468,Czech Republic Gambrinus Liga ,Viktoria Plze\xc5\x88,Pressure On Heavy Touch,Balanced,7,3
524,113147,Italian Serie B ,Virtus Entella,Balanced,Balanced,2,1
525,15040,Austrian Football Bundesliga ,WSG Tirol,Balanced,Long Ball,1,1
526,112541,Chinese Super League ,Wuhan Zall,Balanced,Balanced,1,1
527,101099,Colombian Liga Postobón ,Am\xc3\xa9rica de Cali,Balanced,Long Ball,6,5
528,112847,Romanian Liga I ,Astra Giurgiu,Balanced,Balanced,7,3
529,101033,Turkish Süper Lig ,Atiker Konyaspor,Pressure On Heavy Touch,Possession,6,3
530,110854,Spanish Segunda División ,CF Reus Deportiu,Balanced,Balanced,4,1
531,112705,Chilian Campeonato Nacional ,Coquimbo Unido,Drop Back,Long Ball,1,1
532,112168,Italian Serie B ,Cosenza,Pressure On Heavy Touch,Balanced,1,1
533,111722,Colombian Liga Postobón ,Deportes Tolima,Balanced,Balanced,9,6
534,101102,Colombian Liga Postobón ,Deportivo Cali,Balanced,Balanced,8,7
535,111821,Austrian Football Bundesliga ,FC Admira Wacker M\xc3\xb6dling,Balanced,Balanced,5,2
536,114147,Romanian Liga I ,FC Hermannstadt,Balanced,Long Ball,3,2
537,113183,Japanese J. League Division 1 ,Oita Trinita,Balanced,Balanced,3,1
538,113958,Italian Serie B ,Pordenone,Drop Back,Long Ball,1,1
539,112075,Austrian Football Bundesliga ,SKN St. P\xc3\xb6lten,Balanced,Long Ball,1,1
540,543,German 2. Bundesliga , SSV Jahn Regensburg,Press After Possession Loss,Long Ball,2,1
541,820,Danish Superliga ,Aalborg BK,Press After Possession Loss,Balanced,8,1
542,101033,Turkish Süper Lig ,Atiker Konyaspor,Pressure On Heavy Touch,Possession,6,3
543,305,Rep. Ireland Airtricity League ,Bohemian FC,Balanced,Balanced,6,1
544,269,Danish Superliga ,Br\xc3\xb8ndby IF,Press After Possession Loss,Long Ball,10,2
545,1327,International,Bulgaria,Balanced,Balanced,,5
546,1457,Turkish Süper Lig ,Denizlispor,Drop Back,Long Ball,4,2
547,294,French Ligue 2 ,ESTAC Troyes,Press After Possession Loss,Possession,9,1
548,1805,French Ligue 2 ,Grenoble Foot 38,Balanced,Long Ball,1,1
549,101026,Turkish Süper Lig ,G\xc3\xb6ztepe SK,Balanced,Possession,4,1
550,432,Swedish Allsvenskan ,Helsingborgs IF,Balanced,Long Ball,2,1
551,1750,Belgian Jupiler Pro League ,KSV Cercle Brugge,Drop Back,Fast Build Up,6,3
552,682,Belgian Jupiler Pro League ,KV Oostende,Balanced,Balanced,7,2
553,1844,Italian Serie B ,Livorno,Pressure On Heavy Touch,Balanced,5,1
554,1914,Holland Eredivisie ,PEC Zwolle,Press After Possession Loss,Possession,5,1
555,1843,Italian Serie B ,Palermo,Press After Possession Loss,Balanced,8,2
556,15009,Austrian Football Bundesliga ,SCR Altach,Press After Possession Loss,Balanced,4,1
557,423,Rep. Ireland Airtricity League ,St. Patrick\'s Athletic,Balanced,Long Ball,7,1
558,983,Korean K League Classic ,Suwon Samsung Bluewings,Balanced,Possession,8,5
559,1473,Korean K League Classic ,Ulsan Hyundai FC,Balanced,Balanced,7,6
560,607,Saudi Abdul L. Jameel League ,Al Ittihad,Press After Possession Loss,Possession,8,5
561,741,Turkish Süper Lig ,Antalyaspor,Balanced,Balanced,5,3
562,1847,Italian Serie B ,Ascoli,Balanced,Balanced,4,1
563,111327,Chilian Campeonato Nacional ,CD Huachipato,Balanced,Balanced,4,3
564,110831,Spanish Segunda División ,CD Lugo,Press After Possession Loss,Possession,5,1
565,1330,International,Czech Republic,Balanced,Balanced,,5
566,1445,Danish Superliga ,Esbjerg fB,Press After Possession Loss,Balanced,2,1
567,112218,Russian Premier League ,FC Krasnodar,,,8,6
568,898,Swiss Super League ,FC St. Gallen,Balanced,Balanced,6,4
569,1043,Campeonato Brasileiro Série A ,Flamengo,,,20,13
570,1832,German 2. Bundesliga ,Karlsruher SC,Pressure On Heavy Touch,Possession,9,1
571,82,Scottish Premiership ,Kilmarnock,Pressure On Heavy Touch,Balanced,6,1
572,83,Scottish Premiership ,Motherwell,Balanced,Balanced,5,1
573,110227,Russian Premier League ,Rubin Kazan,,,7,5
574,110169,German 3. Bundesliga ,SC Fortuna K\xc3\xb6ln,Drop Back,Balanced,4,1
575,1785,Austrian Football Bundesliga ,SV Mattersburg,Drop Back,Fast Build Up,4,3
576,1361,International,Slovenia,Pressure On Heavy Touch,Balanced,,5
577,670,Belgian Jupiler Pro League ,Sporting de Charleroi,Balanced,Long Ball,6,2
578,111434,Italian Serie B ,US Cremonese,Balanced,Balanced,5,1
579,111716,Argentina Primera División  ,Uni\xc3\xb3n de Santa Fe,Pressure On Heavy Touch,Long Ball,6,5
580,110913,Belgian Jupiler Pro League ,Waasland-Beveren,Balanced,Long Ball,3,1
581,111085,Polish T-Mobile Ekstraklasa ,LKS Lodz,Balanced,Balanced,3,1
582,113391,Romanian Liga I ,Academica Clinceni,Balanced,Balanced,1,1
583,113345,Saudi Abdul L. Jameel League ,Al Adalah,Balanced,Long Ball,1,1
584,1962,English League One ,Bristol Rovers,Pressure On Heavy Touch,Balanced,6,1
585,112533,Chilian Campeonato Nacional ,CD Antofagasta,Balanced,Long Ball,4,1
586,110978,Chilian Campeonato Nacional ,CD Cobresal,Drop Back,Long Ball,2,2
587,110069,Spanish Segunda División ,CD Mirand\xc3\xa9s,Drop Back,Balanced,4,1
588,111328,Chilian Campeonato Nacional ,CD Palestino,Balanced,Long Ball,6,3
589,112637,Romanian Liga I ,Gaz Metan Media\xc5\x9f,Balanced,Balanced,6,3
590,1341,International,Iceland,Balanced,Balanced,,3
591,101144,Japanese J. League Division 1 ,J\xc3\xbabilo Iwata,Balanced,Long Ball,6,3
592,111083,Polish T-Mobile Ekstraklasa ,Korona Kielce,Press After Possession Loss,Long Ball,5,2
593,113158,Japanese J. League Division 1 ,Matsumoto Yamaga,Balanced,Long Ball,1,1
594,111138,USA Major League Soccer ,Minnesota United FC,Drop Back,Balanced,3,1
595,111473,International,New Zealand,Pressure On Heavy Touch,Balanced,,2
596,1937,English League Two ,Notts County,Balanced,Balanced,9,2
597,110178,German 2. Bundesliga ,SV Sandhausen,Balanced,Long Ball,2,1
598,112836,Japanese J. League Division 1 ,Vegalta Sendai,Press After Possession Loss,Possession,5,4
599,1569,Polish T-Mobile Ekstraklasa ,Wis\xc5\x82a P\xc5\x82ock,Balanced,Possession,5,2
600,1039,Campeonato Brasileiro Série A ,Atl\xc3\xa9tico Paranaense,Balanced,Balanced,5,4
601,445,Rep. Ireland Airtricity League ,Derry City,Balanced,Balanced,8,1
602,469,Spanish Segunda División ,Extremadura UD,Pressure On Heavy Touch,Long Ball,1,1
603,1341,International,Iceland,Balanced,Balanced,,3
604,272,Danish Superliga ,Odense Boldklub,Pressure On Heavy Touch,Long Ball,6,1
605,631,Scottish Premiership ,Ross County FC,Drop Back,Long Ball,2,1
606,270,Danish Superliga ,Silkeborg IF,Drop Back,Balanced,2,1
607,418,Norwegian Eliteserien ,Troms\xc3\xb8 IL,Drop Back,Possession,5,1
608,920,Norwegian Eliteserien ,V\xc3\xa5lerenga Fotball,Press After Possession Loss,Possession,7,2
609,1446,Danish Superliga ,AC Horsens,Drop Back,Long Ball,3,1
610,112171,Swedish Allsvenskan ,AFC Eskilstuna,Drop Back,Fast Build Up,1,1
611,113948,French Ligue 2 ,AS B\xc3\xa9ziers,Balanced,Balanced,1,1
612,111708,Argentina Primera División  ,Atl\xc3\xa9tico Tucum\xc3\xa1n,Press After Possession Loss,Balanced,4,2
613,711,Swedish Allsvenskan ,BK H\xc3\xa4cken,Press After Possession Loss,Possession,6,1
614,111451,International,Bolivia,Balanced,Balanced,,1
615,517,Campeonato Brasileiro Série A ,Botafogo,Balanced,Balanced,6,4
616,838,Rep. Ireland Airtricity League ,Bray Wanderers,Pressure On Heavy Touch,Balanced,2,1
617,1891,Portuguese Liga ZON SAGRES ,CD Nacional,Balanced,Long Ball,3,1
618,112534,Chilian Campeonato Nacional ,CD Universidad de Concepci\xc3\xb3n,Balanced,Balanced,6,1
619,110066,Spanish Segunda División ,CF Rayo Majadahonda,Drop Back,Long Ball,1,1
620,113387,Romanian Liga I ,Chindia T\xc3\xa2rgovi\xc5\x9fte,Balanced,Balanced,2,1
621,112165,Chinese Super League ,Chongqing Dangdai Lifan FC SWM Team,Drop Back,Long Ball,2,1
622,111723,Colombian Liga Postobón ,Deportivo Pasto,Balanced,Balanced,3,2
623,100766,Russian Premier League ,FC Anzhi Makhachkala,,,2,4
624,110752,Romanian Liga I ,FC Boto\xc5\x9fani,Balanced,Balanced,6,2
625,100628,Holland Eredivisie ,FC Emmen,Balanced,Long Ball,1,1
626,10032,Swiss Super League ,FC Lugano,Pressure On Heavy Touch,Long Ball,3,1
627,897,Swiss Super League ,FC Luzern,Press After Possession Loss,Balanced,5,3
628,110231,Russian Premier League ,FC Rostov,,,6,5
629,982,Korean K League Classic ,FC Seoul,Balanced,Balanced,8,7
630,322,Swiss Super League ,Grasshopper Club Z\xc3\xbcrich,Balanced,Balanced,6,3
631,111588,Korean K League Classic ,Gyeongnam FC,Press After Possession Loss,Long Ball,3,1
632,184,Scottish Premiership ,Hamilton Academical FC,Drop Back,Fast Build Up,1,1
633,112425,Danish Superliga ,Hobro IK,Drop Back,Balanced,1,1
634,212,French Ligue 2 ,La Berrichonne de Ch\xc3\xa2teauroux,Drop Back,Balanced,3,1
635,299,Norwegian Eliteserien ,Lillestr\xc3\xb8m SK,Drop Back,Long Ball,6,1
636,15001,Danish Superliga ,Lyngby BK,Drop Back,Fast Build Up,1,1
637,1904,Holland Eredivisie ,NAC Breda,Drop Back,Fast Build Up,2,1
638,1786,Danish Superliga ,Randers FC,Balanced,Long Ball,4,1
639,113157,Japanese J. League Division 1 ,Sanfrecce Hiroshima,Pressure On Heavy Touch,Balanced,10,5
640,1438,Portuguese Liga ZON SAGRES ,Santa Clara,Pressure On Heavy Touch,Long Ball,1,1
641,111099,International,South Africa,Drop Back,Possession,,4
642,110741,Italian Serie B ,Spezia,Pressure On Heavy Touch,Possession,6,1
643,100805,Scottish Premiership ,St. Mirren,Pressure On Heavy Touch,Balanced,2,1
644,1447,Danish Superliga ,S\xc3\xb8nderjyskE,Balanced,Balanced,4,1
645,2017,Austrian Football Bundesliga ,TSV Hartberg,Drop Back,Fast Build Up,2,1
646,112983,Chinese Super League ,Tianjin Quanjian FC,Balanced,Possession,9,6
647,100651,Holland Eredivisie ,VVV-Venlo,Balanced,Long Ball,3,1
648,753,Rep. Ireland Airtricity League ,Waterford FC,Balanced,Possession,5,1
649,113259,Turkish Süper Lig ,Yeni Malatyaspor,Drop Back,Balanced,2,1
650,101037,Turkish Süper Lig ,\xc3\x87aykur Rizespor,Drop Back,Fast Build Up,3,2
651,705,Swedish Allsvenskan ,\xc3\x96rebro SK,Drop Back,Balanced,5,1
652,113173,Swedish Allsvenskan ,\xc3\x96stersunds FK,Press After Possession Loss,Possession,7,3
653,112537,Chinese Super League ,Beijing Renhe FC,Press After Possession Loss,Balanced,6,4
654,112510,Polish T-Mobile Ekstraklasa ,Bruk-Bet Termalica Nieciecza,,,4,1
655,112655,Chilian Campeonato Nacional ,Curic\xc3\xb3 Unido,Drop Back,Fast Build Up,2,1
656,112531,Chilian Campeonato Nacional ,Deportes Iquique,Pressure On Heavy Touch,Balanced,4,3
657,113182,Romanian Liga I ,FC Voluntari,Drop Back,Fast Build Up,4,3
658,113458,Swedish Allsvenskan ,IK Sirius,Press After Possession Loss,Possession,1,1
659,114326,Polish T-Mobile Ekstraklasa ,Rak\xc3\xb3w Cz\xc4\x99stochowa,Balanced,Long Ball,2,1
660,110401,Turkish Süper Lig ,Adanaspor,,,1,1
661,111674,Saudi Abdul L. Jameel League ,Al Shabab,Balanced,Balanced,7,4
662,112408,Saudi Abdul L. Jameel League ,Al Wehda,Pressure On Heavy Touch,Long Ball,4,1
